REG,RATING,DATE,ORDER
4869161,-4,01/02/2004,6
4869161,-17,21/08/2003,7
4869161,-9,20/08/2003,8
5195331,-23,27/02/2007,1
5195331,-25,16/02/2007,2
5195331,31,09/02/2007,3
5195331,37,01/02/2007,4
5195331,50,27/11/2006,5
5195331,-17,06/07/2006,6
5195331,-4,26/08/2004,7
5195331,-9,04/08/2004,8
5204138,59,01/05/2018,1
5204138,82,30/04/2018,2
5204138,59,10/04/2018,3
5204138,82,04/04/2018,4
5204138,96,28/06/2017,5
5204138,69,28/06/2017,6
5204138,-18,01/04/2017,7
5204138,69,04/08/2016,8
5204138,66,02/08/2016,9
5204138,-18,01/04/2016,10
5204138,66,04/07/2015,11
5204138,49,02/07/2015,12
5204138,-18,17/04/2015,13
5204138,49,17/11/2014,14
5204138,19,02/09/2014,15
5204138,23,24/08/2014,16
5204138,94,22/05/2014,17
5204138,96,09/04/2014,18
5204138,-18,05/04/2014,19
5204138,84,22/03/2014,20
5204138,96,27/12/2013,21
5204138,95,20/08/2013,22
5204138,96,13/04/2013,23
5204138,97,10/04/2013,24
5204138,-18,06/04/2013,25
5204138,89,23/03/2013,26
5204138,97,04/09/2012,27
5204138,93,04/04/2012,28
5204138,70,17/03/2012,29
5204138,93,19/04/2011,30
5204138,-18,02/04/2011,31
5204138,41,19/03/2011,32
5204138,93,15/02/2011,33
5204138,95,22/09/2010,34
5204138,-18,02/01/2010,35
5204138,92,18/11/2009,36
5204138,80,11/06/2009,37
5204138,79,27/03/2009,38
5204138,97,06/03/2009,39
5204138,66,11/08/2008,40
5204138,60,11/06/2008,41
5204138,87,12/06/2007,42
5204138,60,20/06/2006,43
5204138,56,30/12/2005,44
5204138,-4,18/08/2004,45
5204138,-9,16/08/2004,46
5360932,10,23/11/2017,1
5360932,37,02/12/2016,2
5360932,48,10/11/2016,3
5360932,37,09/11/2016,4
5360932,48,14/06/2016,5
5360932,37,01/01/2016,6
5360932,-18,01/12/2015,7
5360932,37,04/12/2014,8
5360932,31,02/09/2014,9
5360932,38,24/08/2014,10
5360932,65,25/11/2013,11
5360932,39,16/11/2013,12
5360932,65,02/11/2013,13
5360932,67,12/03/2013,14
5360932,66,28/11/2012,15
5360932,59,27/11/2012,16
5360932,33,17/11/2012,17
5360932,59,03/11/2012,18
5360932,58,03/12/2011,19
5360932,65,01/12/2011,20
5360932,13,19/11/2011,21
5360932,65,07/12/2010,22
5360932,7,20/11/2010,23
5360932,52,30/10/2010,24
5360932,53,07/12/2009,25
5360932,7,02/12/2009,26
5360932,50,28/04/2009,27
5360932,54,27/04/2009,28
5360932,55,05/04/2009,29
5360932,-18,30/01/2009,30
5360932,0,31/01/2007,31
5360932,-17,10/01/2007,32
5360932,-4,16/02/2005,33
5360932,-9,15/02/2005,34
5418066,82,06/01/2018,1
5418066,96,10/01/2017,2
5418066,82,09/01/2017,3
5418066,-18,06/01/2017,4
5418066,82,09/01/2016,5
5418066,87,07/01/2016,6
5418066,-18,06/01/2016,7
5418066,87,02/09/2014,8
5418066,69,24/08/2014,9
5418066,52,31/05/2014,10
5418066,51,08/01/2014,11
5418066,23,28/12/2013,12
5418066,51,07/12/2013,13
5418066,52,17/04/2013,14
5418066,53,16/04/2013,15
5418066,52,10/01/2013,16
5418066,68,09/01/2013,17
5418066,40,22/12/2012,18
5418066,68,10/05/2012,19
5418066,66,06/01/2012,20
5418066,-34,26/01/2011,21
5418066,-18,08/01/2011,22
5418066,12,25/12/2010,23
5418066,66,08/01/2010,24
5418066,63,07/05/2009,25
5418066,66,02/03/2009,26
5418066,73,11/07/2008,27
5418066,-18,13/06/2008,28
5418066,73,04/03/2007,29
5418066,-4,23/04/2005,30
5418066,0,12/04/2005,31
5606216,79,30/09/2017,1
5606216,95,06/09/2016,2
5606216,91,29/03/2015,3
5606216,91,02/09/2014,4
5606216,76,24/08/2014,5
5606216,77,22/03/2012,6
5606216,76,29/03/2011,7
5606216,59,16/08/2010,8
5606216,21,20/02/2009,9
5606216,55,25/01/2009,10
5606216,73,03/04/2007,11
5606216,-4,02/11/2005,12
5606216,-9,01/11/2005,13
5617158,-23,03/05/2012,1
5617158,50,23/02/2012,2
5617158,51,11/04/2011,3
5617158,58,23/03/2010,4
5617158,51,24/12/2009,5
5617158,49,25/06/2009,6
5617158,13,12/06/2009,7
5617158,50,24/03/2009,8
5617158,46,13/03/2009,9
5617158,45,25/03/2008,10
5617158,35,17/07/2007,11
5617158,-4,14/11/2005,12
5617158,-9,11/11/2005,13
5677279,-19,19/04/2018,1
5677279,80,02/11/2017,2
5677279,66,29/10/2016,3
5677279,82,02/11/2014,4
5677279,80,24/08/2014,5
5677279,75,01/11/2013,6
5677279,45,19/10/2013,7
5677279,75,01/11/2012,8
5677279,45,20/10/2012,9
5677279,75,06/10/2012,10
5677279,74,28/01/2012,11
5677279,-5,10/06/2010,12
5677279,-34,24/04/2009,13
5677279,-19,12/03/2009,14
5677279,-34,30/10/2007,15
5677279,-3,29/10/2007,16
5677279,-5,13/02/2007,17
5677279,-4,19/05/2006,18
5677279,-9,23/02/2006,19
5677279,-4,20/01/2006,20
5677279,-9,19/01/2006,21
5904495,79,26/06/2017,1
5904495,96,13/08/2016,2
5904495,-34,10/09/2007,3
5904495,-3,05/09/2007,4
5904495,-4,17/08/2006,5
5904495,-9,16/08/2006,6
6534755,56,18/11/2017,1
6534755,38,23/12/2016,2
6534755,40,24/11/2015,3
6534755,33,23/12/2014,4
6534755,56,02/09/2014,5
6534755,50,24/08/2014,6
6534755,40,18/03/2013,7
6534755,39,14/06/2012,8
